16 |2025-06-09 10:24:00.6775 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Calling OnGetEducationDetails method
16 |2025-06-09 10:24:00.6775 |DEBUG |Data Layer |DataLayer.EmployeeDB.EducationDetails |Fetching education column data from DB
16 |2025-06-09 10:24:00.6775 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Deserializing Json string  Data to Object type
16 |2025-06-09 10:24:00.6775 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Completed OnGetEducationDetails method
5 |2025-06-09 10:24:10.9723 |DEBUG |Data Layer |DataLayer.EmployeeDB.EducationDetails |Fetching education column data from DB
5 |2025-06-09 10:24:11.0649 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGetDelete |Calling Update method on AddEducationDetails Page
5 |2025-06-09 10:24:11.0649 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.Update |updating employee from service layer
5 |2025-06-09 10:24:11.0649 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetByEmail |Fetching record with matching email id
5 |2025-06-09 10:24:11.1659 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetByEmail |Fetched record with matching email id
5 |2025-06-09 10:24:11.1659 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.Update |updated employee from service layer
5 |2025-06-09 10:24:11.2662 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGetDelete |Update method successfully called
16 |2025-06-09 10:24:11.6677 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Calling OnGetEducationDetails method
16 |2025-06-09 10:24:11.6677 |DEBUG |Data Layer |DataLayer.EmployeeDB.EducationDetails |Fetching education column data from DB
16 |2025-06-09 10:24:11.6754 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Deserializing Json string  Data to Object type
16 |2025-06-09 10:24:11.6754 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Completed OnGetEducationDetails method
5 |2025-06-09 10:24:21.3928 |DEBUG |Data Layer |DataLayer.EmployeeDB.EducationDetails |Fetching education column data from DB
5 |2025-06-09 10:24:21.4811 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGetDelete |Calling Update method on AddEducationDetails Page
5 |2025-06-09 10:24:21.4811 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.Update |updating employee from service layer
5 |2025-06-09 10:24:21.4811 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetByEmail |Fetching record with matching email id
5 |2025-06-09 10:24:21.5604 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetByEmail |Fetched record with matching email id
5 |2025-06-09 10:24:21.5604 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.Update |updated employee from service layer
5 |2025-06-09 10:24:21.6682 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGetDelete |Update method successfully called
10 |2025-06-09 10:24:22.4842 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Calling OnGetEducationDetails method
10 |2025-06-09 10:24:22.4842 |DEBUG |Data Layer |DataLayer.EmployeeDB.EducationDetails |Fetching education column data from DB
10 |2025-06-09 10:24:22.4901 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Deserializing Json string  Data to Object type
10 |2025-06-09 10:24:22.4901 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Completed OnGetEducationDetails method
